EV_GFP,EV_CY3,EV_CY5,coloc_EV_GFP_with_EV_CY3,coloc_EV_GFP_with_EV_CY5,coloc_EV_CY3_with_EV_CY5,coloc_COLOC_ALL_with_COLOC_ALL,GFPintensity,CY3intensity,CY5intensity,Actual
1,0.546666667,0.493333333,0.533333333,0.493333333,0.44,0.426666667,19132.23,19141.5263,5669.049039,MDA-MB-231
0.969230769,0.723076923,0.523076923,0.707692308,0.507692308,0.507692308,0.507692308,16407.39,18441.29843,5378.383286,MDA-MB-231
0.957446809,0.553191489,0.595744681,0.553191489,0.553191489,0.489361702,0.489361702,16301.78,18661.85466,5675.485526,MDA-MB-231
1,0.68627451,0.568627451,0.68627451,0.568627451,0.568627451,0.568627451,17359.3,18526.912,5718.464481,MDA-MB-231
1,0.851851852,0.796296296,0.814814815,0.796296296,0.796296296,0.759259259,18113.73,18962.1705,5819.274894,MDA-MB-231
0.968253968,0.682539683,0.53968254,0.666666667,0.523809524,0.523809524,0.523809524,17727.18,18912.70178,5353.675284,MDA-MB-231
1,0.777777778,0.537037037,0.777777778,0.537037037,0.518518519,0.518518519,16774.36,18374.86076,5268.570524,MDA-MB-231
0.977777778,0.8,0.733333333,0.777777778,0.733333333,0.688888889,0.688888889,16381.83,18565.92182,5125.234285,MDA-MB-231
0.977272727,0.568181818,0.386363636,0.568181818,0.363636364,0.363636364,0.363636364,15705.96,18280.80327,4937.698265,MDA-MB-231
0.958333333,0.6875,0.458333333,0.666666667,0.416666667,0.4375,0.416666667,17753.65,18269.5604,5108.100772,MDA-MB-231
0.959183673,0.795918367,0.612244898,0.775510204,0.571428571,0.571428571,0.551020408,18399.26,17890.63365,4864.407356,MDA-MB-231
1,0.666666667,0.393939394,0.666666667,0.393939394,0.393939394,0.393939394,17871.74,18258.49988,5045.829342,MDA-MB-231
0.903614458,0.481927711,0.228915663,0.43373494,0.168674699,0.180722892,0.168674699,18695.95,19004.63908,5564.310997,MDA-MB-231
0.913043478,0.608695652,0.565217391,0.565217391,0.52173913,0.47826087,0.47826087,12764.83,17032.29218,4595.016874,MDA-MB-231
0.78,0.48,0.28,0.38,0.12,0.16,0.12,16265.28,18015.73833,4953.78395,MDA-MB-231
1,0.454545455,0.303030303,0.454545455,0.303030303,0.272727273,0.272727273,14095.96,17136.36915,4488.170603,MDA-MB-231
0.976190476,0.738095238,0.452380952,0.714285714,0.452380952,0.452380952,0.452380952,17154.81,17793.51504,5026.566287,MDA-MB-231
0.968253968,0.587301587,0.19047619,0.587301587,0.158730159,0.158730159,0.158730159,17400.56,17975.37344,5229.617887,MDA-MB-231
1,0.423728814,0.084745763,0.423728814,0.084745763,0.084745763,0.084745763,16122.69,17410.13302,5365.529553,MDA-MB-231
1,0.345679012,0.024691358,0.345679012,0.024691358,0.024691358,0.024691358,16490.69,17526.39711,4931.029514,MDA-MB-231
